,idx,filename,labelwithfilter,labelwithrawdata
0,0,drone_190703_003048.wav,far,far
1,1,drone_190703_003048.wav,midrange,vnear
2,2,drone_190703_003048.wav,midrange,midrange
3,3,drone_190703_003048.wav,midrange,near
4,4,drone_190703_003048.wav,midrange,near
5,5,drone_190703_003048.wav,near,vfar or nodrone
6,6,drone_190703_003048.wav,near,vfar or nodrone
7,7,drone_190703_003048.wav,midrange,near
8,8,drone_190703_003048.wav,midrange,vfar or nodrone
9,9,drone_190703_003048.wav,vfar or nodrone,midrange
10,10,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
11,11,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
12,12,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
13,13,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
14,14,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
15,15,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
16,16,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
17,17,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
18,18,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
19,19,drone_190703_021317.wav,vfar or nodrone,vfar or nodrone
20,20,drone_190703_030151.wav,midrange,vfar or nodrone
21,21,drone_190703_030151.wav,midrange,near
22,22,drone_190703_030151.wav,midrange,vfar or nodrone
23,23,drone_190703_030151.wav,midrange,vfar or nodrone
24,24,drone_190703_030151.wav,midrange,vfar or nodrone
25,25,drone_190703_030151.wav,vfar or nodrone,midrange
26,26,drone_190703_030151.wav,vnear,vnear
27,27,drone_190703_030151.wav,vfar or nodrone,vfar or nodrone
28,28,drone_190703_030151.wav,vfar or nodrone,vnear
29,29,drone_190703_030151.wav,vfar or nodrone,vnear
30,30,drone_190703_060436.wav,midrange,vfar or nodrone
31,31,drone_190703_060436.wav,midrange,vfar or nodrone
32,32,drone_190703_060436.wav,midrange,vfar or nodrone
33,33,drone_190703_060436.wav,midrange,vfar or nodrone
34,34,drone_190703_060436.wav,midrange,vfar or nodrone
